TIP — Monthly Targets Year 1 (2026),,,,
,,,,
Month,Labels Sold,New Customers,Revenue,Cumulative Revenue
Jan,200,10,"$4,400","$4,400"
Feb,500,20,"$11,000","$15,400"
Mar,800,30,"$17,600","$33,000"
Apr,"1,200",40,"$26,400","$59,400"
May,"1,500",45,"$33,000","$92,400"
Jun,"1,800",50,"$39,600","$132,000"
Jul,"2,000",50,"$44,000","$176,000"
Aug,"2,200",55,"$48,400","$224,400"
Sep,"2,400",55,"$52,800","$277,200"
Oct,"2,600",55,"$57,200","$334,400"
Nov,"2,500",50,"$55,000","$389,400"
Dec,"2,300",40,"$50,600","$440,000"
Total,"20,000",500,"$440,000",
,,,,
ASP: $22.00 (blended across pack sizes),,,,
Customer count is cumulative unique customers,,,,
