TIP — Operating Expenses (2026-2028),,,
,,,,
Category,Year 1,Year 2,Year 3
Personnel,"$120,000","$250,000","$450,000"
  Engineering (1 → 2 → 4 FTEs),"$70,000","$160,000","$280,000"
  Sales/Marketing (0.5 → 2 FTEs),"$30,000","$60,000","$120,000"
  Operations (0.5 → 1 FTE),"$10,000","$30,000","$50,000"
  Founders,"$10,000",$0,$0
Infrastructure,"$18,000","$36,000","$72,000"
  Cloud hosting (GCP),"$6,000","$18,000","$42,000"
  SaaS tools,"$6,000","$10,000","$18,000"
  "Domain, SSL & other","$6,000","$8,000","$12,000"
Payment Processing (~3%),"$13,200","$37,700","$154,600"
Marketing,"$100,000","$120,000","$200,000"
  Digital ads,"$60,000","$65,000","$100,000"
  Content/SEO,"$20,000","$20,000","$30,000"
  Trade shows/events,"$10,000","$25,000","$50,000"
  Partnerships/sponsorships,"$10,000","$10,000","$20,000"
Operations,"$12,000","$25,000","$45,000"
  Legal/accounting,"$6,000","$12,000","$20,000"
  Insurance,"$3,000","$6,000","$12,000"
  Travel,"$3,000","$7,000","$13,000"
Total OpEx,"$263,200","$468,700","$921,600"
