TIP — Cash Flow & Funding,,,
,,,
6.1 Cash Flow Projection,,,
,Year 1,Year 2,Year 3
Starting Cash,"$500,000","$369,800","$543,240"
Net Income,"($50,200)","$223,440","$1,850,720"
Working Capital Changes,"($80,000)","($50,000)","($100,000)"
Ending Cash,"$369,800","$543,240","$2,293,960"
,,,
6.2 Funding Requirements,,,
Round,Amount,Timing,Milestones
Seed,"$500,000",Q1 2026,"MVP launch, first customers"
Series A,$2-4M,Q2 2027,"50K labels, $100K MRR"
,,,
6.3 Use of Seed Funds ($500K),,,
Category,Amount,%,Purpose
Sales & Marketing,"$200,000",40%,"Customer acquisition, brand, content"
Manufacturing,"$150,000",30%,First production batches
Engineering,"$100,000",20%,"Platform scale, mobile app"
Operations,"$50,000",10%,"Legal, insurance, misc"
